community_id,total_doctors_in_community,total_orgs_in_community,total_shared_doctors_in_community,zip,cty,st,lat,long
379,3076,82,232,58503,BISMARCK,ND,46.861794,-100.78026
380,3,2,2,33436,BOYNTON BEACH,FL,26.530144,-80.10461
381,8,4,2,11374,REGO PARK,NY,40.724945,-73.8609
382,347,8,144,89052,HENDERSON,NV,35.979863,-115.09895
383,208,20,45,18954,RICHBORO,PA,40.214652,-75.00379
384,3359,101,436,08060,MOUNT HOLLY,NJ,39.991562,-74.79747
385,37,2,7,52722,BETTENDORF,IA,41.551883,-90.48975
386,1306,138,193,31602,VALDOSTA,GA,30.866613,-83.30078
387,31,4,19,79106,AMARILLO,TX,35.204652,-101.88353
388,1070,76,123,31201,MACON,GA,32.830839,-83.63529
389,4,2,2,28805,ASHEVILLE,NC,35.599363,-82.50007
390,2419,63,325,56470,PARK RAPIDS,MN,46.974221,-95.06581
391,3492,73,228,57105,SIOUX FALLS,SD,43.525226,-96.73297
392,2008,72,139,91765,DIAMOND BAR,CA,34.004172,-117.81673
393,1343,56,249,28560,NEW BERN,NC,35.119674,-77.01509
394,85,15,31,45213,CINCINNATI,OH,39.180893,-84.41881
395,365,13,110,08648,LAWRENCE TOWNSHIP,NJ,40.276782,-74.72951
396,1555,44,210,49015,BATTLE CREEK,MI,42.30244,-85.22294
397,36,6,3,49546,GRAND RAPIDS,MI,42.927801,-85.54582
398,61,2,4,90095,LOS ANGELES,CA,33.786594,-118.298662
399,1320,57,86,16901,WELLSBORO,PA,41.736343,-77.31915
400,309,12,17,66067,OTTAWA,KS,38.614986,-95.27355
401,561,33,65,85374,SURPRISE,AZ,33.643508,-112.38502
402,22,7,22,06488,SOUTHBURY,CT,41.475263,-73.22184
403,95,10,18,97045,OREGON CITY,OR,45.344246,-122.58464
404,4405,167,501,85710,TUCSON,AZ,32.213291,-110.82559
